Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Jak and Daxter: The Precursor Legacy,PS2,2001.0,Platform,Sony Computer Entertainment,3.64,9.0,35.0,8.7,314.0
Pro Evolution Soccer 2008,PS2,2007.0,Sports,Konami Digital Entertainment,3.63,8.2,10.0,7.9,38.0
Resident Evil 4,PS2,2005.0,Action,Capcom,3.62,9.6,38.0,8.9,1025.0
FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,3.62,9.1,56.0,7.5,204.0
Guitar Hero: World Tour,Wii,2008.0,Misc,Activision,3.62,8.6,18.0,7.6,71.0
Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,3.61,8.5,18.0,6.9,1586.0
Star Wars: Battlefront,PS2,2004.0,Shooter,LucasArts,3.61,8.2,36.0,8.7,143.0
The Simpsons: Road Rage,PS2,2001.0,Racing,Electronic Arts,3.61,6.4,23.0,7.7,32.0
Luigis Mansion,GC,2001.0,Action,Nintendo,3.6,7.8,34.0,8.6,162.0
Star Wars: Battlefront II,PS2,2005.0,Shooter,LucasArts,3.59,8.4,30.0,9.0,268.0
Cooking Mama 2: Dinner With Friends,DS,2007.0,Simulation,505 Games,3.58,7.0,39.0,8.0,9.0
Call of Duty: Infinite Warfare,XOne,2016.0,Shooter,Activision,3.56,7.8,18.0,3.2,315.0
Assassins Creed: Unity,XOne,2014.0,Action,Ubisoft,3.56,7.2,59.0,4.1,1008.0
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,Take-Two Interactive,3.54,7.8,49.0,7.8,112.0
The Getaway,PS2,2002.0,Action,Sony Computer Entertainment,3.54,7.2,49.0,6.8,89.0
James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,Electronic Arts,3.53,7.2,27.0,7.9,48.0
FIFA Soccer 11,X360,2010.0,Sports,Electronic Arts,3.52,8.8,66.0,7.5,155.0
Left 4 Dead,X360,2008.0,Shooter,Electronic Arts,3.51,8.9,67.0,7.9,1309.0
Resident Evil 5,X360,2009.0,Action,Capcom,3.5,8.3,91.0,7.5,526.0
Assassins Creed: Brotherhood,X360,2010.0,Action,Ubisoft,3.5,8.9,81.0,8.3,700.0
